Designator,Footprint,Quantity,Value,LCSC Part #
"D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",D_DO-35_SOD27_P7.62mm_Horizontal,12,D,
"J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J2_12, J2_11, J2_10, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinHeader_1x03_P2.54mm_Vertical,24,Conn_01x03,
"Q1_12, Q1_11, Q1_10, Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1, Q2_12, Q2_11, Q2_10, Q2_9, Q2_8, Q2_7, Q2_6, Q2_5, Q2_4, Q2_3, Q2_2, Q2, Q3_12, Q3_11, Q3_10, Q3_9, Q3_8, Q3_7, Q3_6, Q3_5, Q3_4, Q3_3, Q3_2, Q3",TO-92_Inline,36,2N3904,
"R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,48,4.7k,
